instruction,price,side,qty,time
cancel,397,,,1683807141
cancel,605,,,1683807141
newOrder,398,0,26,1683807172
newOrder,605,1,26,1683807172
cancel,398,,,1683807741
cancel,605,,,1683807741
newOrder,396,0,25,1683807771
newOrder,605,1,25,1683807771
cancel,396,,,1683808341
cancel,605,,,1683808341
newOrder,398,0,26,1683808375
newOrder,605,1,26,1683808375
newOrder,345,0,118,1683808375
newOrder,749,1,118,1683808375
cancel,345,,,1683808941
cancel,398,,,1683808941
cancel,605,,,1683808941
cancel,749,,,1683808941
newOrder,396,0,25,1683808973
newOrder,605,1,25,1683808973
newOrder,345,0,108,1683808973
newOrder,749,1,108,1683808973
cancel,345,,,1683809541
cancel,396,,,1683809541
cancel,605,,,1683809541
cancel,749,,,1683809541
newOrder,396,0,25,1683809573
newOrder,605,1,25,1683809573
newOrder,345,0,18,1683809573
newOrder,749,1,18,1683809573
cancel,345,,,1683810141
cancel,396,,,1683810141
cancel,605,,,1683810141
cancel,749,,,1683810141
newOrder,395,0,25,1683810174
newOrder,605,1,25,1683810174
cancel,395,,,1683810741
cancel,605,,,1683810741
newOrder,394,0,25,1683810773
newOrder,605,1,25,1683810773
newOrder,394,0,9,1683810773
cancel,394,,,1683811341
cancel,394,,,1683811341
cancel,605,,,1683811341
newOrder,393,0,24,1683811371
newOrder,605,1,24,1683811371
cancel,393,,,1683811941
cancel,605,,,1683811941
newOrder,393,0,24,1683811972
newOrder,605,1,24,1683811972
cancel,393,,,1683812541
cancel,605,,,1683812541
newOrder,394,0,24,1683812572
newOrder,605,1,24,1683812572
cancel,394,,,1683813142
cancel,605,,,1683813142
newOrder,392,0,24,1683813174
newOrder,605,1,24,1683813174
cancel,392,,,1683813741
cancel,605,,,1683813741
newOrder,391,0,23,1683813772
newOrder,605,1,23,1683813772
cancel,391,,,1683814340
cancel,605,,,1683814340
newOrder,391,0,23,1683814371
newOrder,605,1,23,1683814371
cancel,391,,,1683814941
cancel,605,,,1683814941
newOrder,393,0,24,1683814970
newOrder,605,1,24,1683814970
cancel,393,,,1683815540
cancel,605,,,1683815540
newOrder,393,0,24,1683815573
newOrder,605,1,24,1683815573
cancel,393,,,1683816142
cancel,605,,,1683816142
newOrder,392,0,24,1683816175
newOrder,605,1,24,1683816175
newOrder,391,0,15,1683816175
cancel,391,,,1683816741
cancel,392,,,1683816741
cancel,605,,,1683816741
newOrder,392,0,23,1683816773
newOrder,605,1,23,1683816773
cancel,392,,,1683817341
cancel,605,,,1683817341
newOrder,393,0,24,1683817372
newOrder,605,1,24,1683817372
cancel,393,,,1683817941
cancel,605,,,1683817941
newOrder,391,0,23,1683817974
newOrder,605,1,23,1683817974
newOrder,392,0,1,1683817974
cancel,391,,,1683818539
cancel,392,,,1683818539
cancel,605,,,1683818539
newOrder,392,0,23,1683818576
newOrder,605,1,23,1683818576
cancel,392,,,1683819141
cancel,605,,,1683819141
newOrder,392,0,23,1683819175
newOrder,605,1,23,1683819175
cancel,392,,,1683819741
cancel,605,,,1683819741
newOrder,390,0,23,1683819772
newOrder,605,1,23,1683819772
cancel,390,,,1683820341
cancel,605,,,1683820341
newOrder,390,0,23,1683820371
newOrder,605,1,23,1683820371
cancel,390,,,1683820941
cancel,605,,,1683820941
newOrder,389,0,22,1683820972
newOrder,605,1,22,1683820972
cancel,389,,,1683821541
cancel,605,,,1683821541
newOrder,386,0,21,1683821572
newOrder,605,1,21,1683821572
cancel,386,,,1683822141
cancel,605,,,1683822141
newOrder,386,0,21,1683822177
newOrder,605,1,21,1683822177
cancel,386,,,1683822740
cancel,605,,,1683822740
newOrder,386,0,21,1683822773
newOrder,605,1,21,1683822773
cancel,386,,,1683823341
cancel,605,,,1683823341
newOrder,386,0,21,1683823373
newOrder,605,1,21,1683823373
cancel,386,,,1683823941
cancel,605,,,1683823941
newOrder,386,0,21,1683823971
newOrder,605,1,21,1683823971
cancel,386,,,1683824540
cancel,605,,,1683824540
newOrder,384,0,20,1683824573
newOrder,605,1,20,1683824573
cancel,384,,,1683825141
cancel,605,,,1683825141
newOrder,382,0,20,1683825172
newOrder,605,1,20,1683825172
newOrder,381,0,12,1683825172
cancel,381,,,1683825692
cancel,605,,,1683825692
newOrder,378,0,19,1683825699
newOrder,606,1,19,1683825699
cancel,378,,,1683825742
cancel,606,,,1683825742
newOrder,378,0,19,1683825811
newOrder,605,1,19,1683825811
newOrder,345,0,72,1683825811
newOrder,749,1,72,1683825811
cancel,345,,,1683825903
cancel,605,,,1683825903
cancel,749,,,1683825903
newOrder,374,0,18,1683825909
newOrder,606,1,18,1683825909
cancel,374,,,1683826340
cancel,606,,,1683826340
newOrder,379,0,19,1683826373
newOrder,605,1,19,1683826373
cancel,379,,,1683826941
cancel,605,,,1683826941
newOrder,379,0,19,1683826973
newOrder,605,1,19,1683826973
cancel,379,,,1683827541
cancel,605,,,1683827541
newOrder,379,0,19,1683827573
newOrder,605,1,19,1683827573
cancel,379,,,1683828140
cancel,605,,,1683828140
newOrder,379,0,19,1683828173
newOrder,605,1,19,1683828173
