instruction,price,side,qty,time
cancel,10641,,,1685275797
cancel,17735,,,1685275797
cancel,19080,,,1685275797
cancel,24999,,,1685275797
newOrder,17736,0,17791,1685275823
newOrder,19080,1,17791,1685275823
newOrder,12202,0,22362,1685275823
newOrder,24957,1,22362,1685275823
cancel,12202,,,1685276397
cancel,17736,,,1685276397
cancel,19080,,,1685276397
cancel,24957,,,1685276397
newOrder,17736,0,17797,1685276420
newOrder,19080,1,17797,1685276420
newOrder,12202,0,25076,1685276420
newOrder,24957,1,25076,1685276420
cancel,12202,,,1685276998
cancel,17736,,,1685276998
cancel,19080,,,1685276998
cancel,24957,,,1685276998
newOrder,17736,0,17802,1685277021
newOrder,19080,1,17802,1685277021
newOrder,10642,0,40808,1685277021
newOrder,24957,1,40808,1685277021
cancel,10642,,,1685277599
cancel,17736,,,1685277599
cancel,19080,,,1685277599
cancel,24957,,,1685277599
newOrder,17736,0,17808,1685277623
newOrder,19080,1,17808,1685277623
newOrder,12202,0,22550,1685277623
newOrder,24957,1,22550,1685277623
cancel,12202,,,1685278197
cancel,17736,,,1685278197
cancel,19080,,,1685278197
cancel,24957,,,1685278197
newOrder,17736,0,17814,1685278221
newOrder,19080,1,17814,1685278221
newOrder,10642,0,59121,1685278221
newOrder,24999,1,59121,1685278221
cancel,10642,,,1685278798
cancel,17736,,,1685278798
cancel,19080,,,1685278798
cancel,24999,,,1685278798
newOrder,17736,0,17819,1685278821
newOrder,19080,1,17819,1685278821
newOrder,10642,0,58695,1685278821
newOrder,24999,1,58695,1685278821
cancel,10642,,,1685279397
cancel,17736,,,1685279397
cancel,19080,,,1685279397
cancel,24999,,,1685279397
newOrder,17736,0,17825,1685279419
newOrder,19080,1,17825,1685279419
newOrder,10642,0,60788,1685279419
newOrder,24999,1,60788,1685279419
cancel,10642,,,1685279998
cancel,17736,,,1685279998
cancel,19080,,,1685279998
cancel,24999,,,1685279998
newOrder,17749,0,17926,1685280021
newOrder,19080,1,17926,1685280021
newOrder,10649,0,56948,1685280021
newOrder,24999,1,56948,1685280021
cancel,10649,,,1685280599
cancel,17749,,,1685280599
cancel,19080,,,1685280599
cancel,24999,,,1685280599
newOrder,17749,0,17933,1685280621
newOrder,19080,1,17933,1685280621
newOrder,12202,0,27829,1685280621
newOrder,24957,1,27829,1685280621
cancel,12202,,,1685281197
cancel,17749,,,1685281197
cancel,19080,,,1685281197
cancel,24957,,,1685281197
newOrder,17748,0,17932,1685281221
newOrder,19080,1,17932,1685281221
newOrder,10649,0,54567,1685281221
newOrder,24999,1,54567,1685281221
cancel,10649,,,1685281797
cancel,17748,,,1685281797
cancel,19080,,,1685281797
cancel,24999,,,1685281797
newOrder,17749,0,17945,1685281822
newOrder,19080,1,17945,1685281822
newOrder,12202,0,28957,1685281822
newOrder,24957,1,28957,1685281822
cancel,12202,,,1685282398
cancel,17749,,,1685282398
cancel,19080,,,1685282398
cancel,24957,,,1685282398
newOrder,17652,0,17195,1685282424
newOrder,19080,1,17195,1685282424
newOrder,12202,0,29740,1685282424
newOrder,24957,1,29740,1685282424
cancel,12202,,,1685282997
cancel,17652,,,1685282997
cancel,19080,,,1685282997
cancel,24957,,,1685282997
newOrder,17652,0,17199,1685283025
newOrder,19080,1,17199,1685283025
newOrder,10591,0,42091,1685283025
newOrder,24957,1,42091,1685283025
cancel,10591,,,1685283599
cancel,17652,,,1685283599
cancel,19080,,,1685283599
cancel,24957,,,1685283599
newOrder,17652,0,17204,1685283622
newOrder,19080,1,17204,1685283622
newOrder,10591,0,89814,1685283622
newOrder,24999,1,89814,1685283622
cancel,10591,,,1685284198
cancel,17652,,,1685284198
cancel,19080,,,1685284198
cancel,24999,,,1685284198
newOrder,17647,0,17173,1685284222
newOrder,19080,1,17173,1685284222
newOrder,12202,0,26117,1685284222
newOrder,24957,1,26117,1685284222
cancel,12202,,,1685284798
cancel,17647,,,1685284798
cancel,19080,,,1685284798
cancel,24957,,,1685284798
newOrder,17646,0,17170,1685284821
newOrder,19080,1,17170,1685284821
newOrder,10588,0,55620,1685284821
newOrder,24999,1,55620,1685284821
cancel,10588,,,1685285397
cancel,17646,,,1685285397
cancel,19080,,,1685285397
cancel,24999,,,1685285397
newOrder,17647,0,17182,1685285421
newOrder,19080,1,17182,1685285421
newOrder,12202,0,24643,1685285421
newOrder,24957,1,24643,1685285421
cancel,12202,,,1685285997
cancel,17647,,,1685285997
cancel,19080,,,1685285997
cancel,24957,,,1685285997
newOrder,17647,0,17186,1685286022
newOrder,19080,1,17186,1685286022
newOrder,12202,0,20333,1685286022
newOrder,24957,1,20333,1685286022
cancel,12202,,,1685286597
cancel,17647,,,1685286597
cancel,19080,,,1685286597
cancel,24957,,,1685286597
newOrder,17641,0,17141,1685286620
newOrder,19080,1,17141,1685286620
newOrder,15111,0,10993,1685286620
cancel,15111,,,1685287198
cancel,17641,,,1685287198
cancel,19080,,,1685287198
newOrder,17647,0,17194,1685287220
newOrder,19080,1,17194,1685287220
newOrder,10588,0,64660,1685287220
newOrder,24999,1,64660,1685287220
cancel,10588,,,1685287797
cancel,17647,,,1685287797
cancel,19080,,,1685287797
cancel,24999,,,1685287797
newOrder,17647,0,17198,1685287822
newOrder,19080,1,17198,1685287822
newOrder,10588,0,88692,1685287822
newOrder,24999,1,88692,1685287822
cancel,10588,,,1685288398
cancel,17647,,,1685288398
cancel,19080,,,1685288398
cancel,24999,,,1685288398
newOrder,17647,0,17202,1685288425
newOrder,19080,1,17202,1685288425
newOrder,12202,0,29324,1685288425
newOrder,24957,1,29324,1685288425
cancel,12202,,,1685288998
cancel,17647,,,1685288998
cancel,19080,,,1685288998
cancel,24957,,,1685288998
newOrder,17647,0,17206,1685289021
newOrder,19080,1,17206,1685289021
newOrder,10588,0,88026,1685289021
newOrder,24999,1,88026,1685289021
cancel,10588,,,1685289598
cancel,17647,,,1685289598
cancel,19080,,,1685289598
cancel,24999,,,1685289598
newOrder,17647,0,17210,1685289623
newOrder,19080,1,17210,1685289623
newOrder,10588,0,55671,1685289623
newOrder,24999,1,55671,1685289623
cancel,10588,,,1685290198
cancel,17647,,,1685290198
cancel,19080,,,1685290198
cancel,24999,,,1685290198
newOrder,17646,0,17206,1685290221
newOrder,19080,1,17206,1685290221
newOrder,10588,0,89814,1685290221
newOrder,24999,1,89814,1685290221
cancel,10588,,,1685290798
cancel,17646,,,1685290798
cancel,19080,,,1685290798
cancel,24999,,,1685290798
newOrder,17646,0,17210,1685290822
newOrder,19080,1,17210,1685290822
newOrder,10588,0,73526,1685290822
newOrder,24999,1,73526,1685290822
cancel,10588,,,1685291397
cancel,17646,,,1685291397
cancel,19080,,,1685291397
cancel,24999,,,1685291397
newOrder,17646,0,17214,1685291420
newOrder,19080,1,17214,1685291420
newOrder,15111,0,15733,1685291420
cancel,15111,,,1685291998
cancel,17646,,,1685291998
cancel,19080,,,1685291998
newOrder,17647,0,17220,1685292021
newOrder,19080,1,17220,1685292021
newOrder,10588,0,57123,1685292021
newOrder,24999,1,57123,1685292021
cancel,10588,,,1685292597
cancel,17647,,,1685292597
cancel,19080,,,1685292597
cancel,24999,,,1685292597
newOrder,17648,0,17231,1685292620
newOrder,19080,1,17231,1685292620
newOrder,12202,0,29298,1685292620
newOrder,24957,1,29298,1685292620
cancel,12202,,,1685293198
cancel,17648,,,1685293198
cancel,19080,,,1685293198
cancel,24957,,,1685293198
newOrder,17648,0,17235,1685293225
newOrder,19080,1,17235,1685293225
newOrder,10589,0,49681,1685293225
newOrder,24999,1,49681,1685293225
cancel,10589,,,1685293797
cancel,17648,,,1685293797
cancel,19080,,,1685293797
cancel,24999,,,1685293797
newOrder,17648,0,17239,1685293822
newOrder,19080,1,17239,1685293822
newOrder,10589,0,78651,1685293822
newOrder,24999,1,78651,1685293822
cancel,10589,,,1685294398
cancel,17648,,,1685294398
cancel,19080,,,1685294398
cancel,24999,,,1685294398
newOrder,17647,0,17236,1685294422
newOrder,19080,1,17236,1685294422
newOrder,10588,0,39326,1685294422
newOrder,24957,1,39326,1685294422
cancel,10588,,,1685294997
cancel,17647,,,1685294997
cancel,19080,,,1685294997
cancel,24957,,,1685294997
newOrder,17648,0,17247,1685295020
newOrder,19080,1,17247,1685295020
newOrder,10589,0,67085,1685295020
newOrder,24999,1,67085,1685295020
cancel,10589,,,1685295598
cancel,17648,,,1685295598
cancel,19080,,,1685295598
cancel,24999,,,1685295598
newOrder,17647,0,17243,1685295621
newOrder,19080,1,17243,1685295621
newOrder,10588,0,60667,1685295621
newOrder,24999,1,60667,1685295621
cancel,10588,,,1685296198
cancel,17647,,,1685296198
cancel,19080,,,1685296198
cancel,24999,,,1685296198
newOrder,17648,0,17255,1685296221
newOrder,19080,1,17255,1685296221
newOrder,10589,0,44455,1685296221
newOrder,24999,1,44455,1685296221
cancel,10589,,,1685296797
cancel,17648,,,1685296797
cancel,19080,,,1685296797
cancel,24999,,,1685296797
newOrder,17648,0,17259,1685296820
newOrder,19080,1,17259,1685296820
newOrder,12202,0,20579,1685296820
newOrder,24957,1,20579,1685296820
cancel,12202,,,1685297398
cancel,17648,,,1685297398
cancel,19080,,,1685297398
cancel,24957,,,1685297398
newOrder,17581,0,16700,1685297422
newOrder,19080,1,16700,1685297422
newOrder,10549,0,55200,1685297422
newOrder,24999,1,55200,1685297422
cancel,10549,,,1685297998
cancel,17581,,,1685297998
cancel,19080,,,1685297998
cancel,24999,,,1685297998
newOrder,17547,0,16407,1685298020
newOrder,19080,1,16407,1685298020
newOrder,10528,0,60185,1685298020
newOrder,24999,1,60185,1685298020
cancel,10528,,,1685298598
cancel,17547,,,1685298598
cancel,19080,,,1685298598
cancel,24999,,,1685298598
newOrder,17547,0,16405,1685298624
newOrder,19080,1,16405,1685298624
newOrder,10528,0,74719,1685298624
newOrder,24999,1,74719,1685298624
cancel,10528,,,1685299198
cancel,17547,,,1685299198
cancel,19080,,,1685299198
cancel,24999,,,1685299198
newOrder,17547,0,16414,1685299224
newOrder,19080,1,16414,1685299224
newOrder,12202,0,28907,1685299224
newOrder,24957,1,28907,1685299224
cancel,12202,,,1685299316
cancel,17547,,,1685299316
cancel,19080,,,1685299316
cancel,24957,,,1685299316
newOrder,17547,0,16415,1685299444
newOrder,19080,1,16415,1685299444
newOrder,15111,0,10068,1685299444
cancel,15111,,,1685300054
cancel,17547,,,1685300054
cancel,19080,,,1685300054
newOrder,17547,0,16417,1685300078
newOrder,19080,1,16417,1685300078
newOrder,10528,0,74386,1685300078
newOrder,24999,1,74386,1685300078
cancel,10528,,,1685300654
cancel,17547,,,1685300654
