instruction,price,side,qty,time
cancel,1312,,,1673871093
cancel,1404,,,1673871093
newOrder,1322,0,172,1673871120
newOrder,1414,1,172,1673871120
cancel,1322,,,1673871651
cancel,1414,,,1673871651
newOrder,1321,0,172,1673871663
newOrder,1413,1,172,1673871663
cancel,1321,,,1673872206
cancel,1413,,,1673872206
newOrder,1308,0,172,1673872233
newOrder,1399,1,172,1673872233
cancel,1308,,,1673872762
cancel,1399,,,1673872762
newOrder,1288,0,173,1673872787
newOrder,1378,1,173,1673872787
newOrder,1151,0,532,1673872787
newOrder,1794,1,690,1673872787
cancel,1151,,,1673873318
cancel,1288,,,1673873318
cancel,1378,,,1673873318
cancel,1794,,,1673873318
newOrder,1286,0,173,1673873325
newOrder,1376,1,173,1673873325
cancel,1286,,,1673873874
cancel,1376,,,1673873874
newOrder,1277,0,173,1673873888
newOrder,1366,1,173,1673873888
cancel,1277,,,1673874431
cancel,1366,,,1673874431
newOrder,1271,0,173,1673874454
newOrder,1360,1,173,1673874454
cancel,1271,,,1673874984
cancel,1360,,,1673874984
newOrder,1279,0,173,1673875003
newOrder,1368,1,173,1673875003
cancel,1279,,,1673875541
cancel,1368,,,1673875541
newOrder,1292,0,172,1673875551
newOrder,1382,1,172,1673875551
cancel,1292,,,1673876096
cancel,1382,,,1673876096
newOrder,1293,0,172,1673876117
newOrder,1383,1,172,1673876117
cancel,1293,,,1673876653
cancel,1383,,,1673876653
newOrder,1288,0,173,1673876675
newOrder,1378,1,173,1673876675
cancel,1288,,,1673877208
cancel,1378,,,1673877208
newOrder,1272,0,173,1673877217
newOrder,1361,1,173,1673877217
cancel,1272,,,1673877762
cancel,1361,,,1673877762
newOrder,1273,0,173,1673878328
newOrder,1362,1,173,1673878328
cancel,1273,,,1673878879
cancel,1362,,,1673878879
newOrder,1254,0,173,1673878899
newOrder,1342,1,173,1673878899
newOrder,1151,0,414,1673878899
newOrder,1794,1,693,1673878899
cancel,1151,,,1673879434
cancel,1254,,,1673879434
cancel,1342,,,1673879434
cancel,1794,,,1673879434
newOrder,1254,0,173,1673879461
newOrder,1341,1,173,1673879461
cancel,1254,,,1673879990
cancel,1341,,,1673879990
newOrder,1267,0,173,1673880019
newOrder,1356,1,173,1673880019
newOrder,1151,0,459,1673880019
newOrder,1794,1,692,1673880019
cancel,1151,,,1673880542
cancel,1267,,,1673880542
cancel,1356,,,1673880542
cancel,1794,,,1673880542
newOrder,1268,0,173,1673880552
newOrder,1357,1,173,1673880552
