instruction,price,side,qty,time
cancel,20073,,,1693311233
cancel,20207,,,1693311233
newOrder,20074,0,288,1693311341
newOrder,20209,1,288,1693311341
cancel,20074,,,1693311833
cancel,20209,,,1693311833
newOrder,20085,0,288,1693311944
newOrder,20220,1,288,1693311944
cancel,20085,,,1693312432
cancel,20220,,,1693312432
newOrder,20118,0,288,1693312461
newOrder,20253,1,288,1693312461
cancel,20118,,,1693313033
cancel,20253,,,1693313033
newOrder,20162,0,288,1693313057
newOrder,20298,1,288,1693313057
cancel,20162,,,1693313633
cancel,20298,,,1693313633
newOrder,20156,0,288,1693313649
newOrder,20292,1,288,1693313649
cancel,20156,,,1693314233
cancel,20292,,,1693314233
newOrder,20189,0,288,1693314262
newOrder,20325,1,288,1693314262
cancel,20189,,,1693314833
cancel,20325,,,1693314833
newOrder,20165,0,288,1693314896
newOrder,20301,1,288,1693314896
cancel,20165,,,1693315433
cancel,20301,,,1693315433
newOrder,20152,0,288,1693315522
newOrder,20288,1,288,1693315522
cancel,20152,,,1693316033
cancel,20288,,,1693316033
newOrder,20158,0,288,1693316048
newOrder,20293,1,288,1693316048
cancel,20158,,,1693316634
newOrder,20249,0,288,1693316660
newOrder,20385,1,288,1693316660
cancel,20249,,,1693317232
cancel,20385,,,1693317232
newOrder,20247,0,288,1693317274
newOrder,20383,1,288,1693317274
cancel,20247,,,1693317833
newOrder,20328,0,288,1693317846
newOrder,20465,1,288,1693317846
cancel,20328,,,1693318433
newOrder,20353,0,288,1693318529
newOrder,20490,1,288,1693318529
cancel,20353,,,1693318853
newOrder,21627,0,276,1693319992
newOrder,21773,1,276,1693319992
cancel,21627,,,1693320150
newOrder,21693,0,275,1693320168
newOrder,21853,1,275,1693320168
cancel,21693,,,1693320175
newOrder,21765,0,274,1693320189
newOrder,21941,1,274,1693320189
newOrder,21721,0,224,1693320189
newOrder,22365,1,837,1693320189
cancel,21721,,,1693320269
cancel,21765,,,1693320269
cancel,22365,,,1693320269
newOrder,21845,0,272,1693320277
newOrder,22037,1,272,1693320277
cancel,22037,,,1693320440
newOrder,21743,0,274,1693320451
newOrder,21947,1,274,1693320451
cancel,21947,,,1693320513
newOrder,21634,0,275,1693320524
newOrder,21852,1,275,1693320524
cancel,21634,,,1693320533
cancel,21852,,,1693320533
cancel,21690,,,1693320635
newOrder,21591,0,277,1693320648
newOrder,21736,1,277,1693320648
cancel,21591,,,1693320735
newOrder,21656,0,276,1693320743
newOrder,21816,1,276,1693320743
cancel,21816,,,1693320755
newOrder,21569,0,277,1693320765
newOrder,21743,1,277,1693320765
cancel,21743,,,1693320869
newOrder,21475,0,278,1693320878
newOrder,21663,1,278,1693320878
cancel,21475,,,1693321029
newOrder,21561,0,277,1693321035
newOrder,21765,1,277,1693321035
cancel,21561,,,1693321133
cancel,21765,,,1693321133
newOrder,21637,0,276,1693321150
newOrder,21782,1,276,1693321150
cancel,21637,,,1693321429
newOrder,21595,0,277,1693321522
newOrder,21740,1,277,1693321522
cancel,21740,,,1693321653
newOrder,21515,0,278,1693321664
newOrder,21675,1,278,1693321664
cancel,21515,,,1693321732
cancel,21675,,,1693321732
newOrder,21580,0,277,1693321755
newOrder,21725,1,277,1693321755
