side,price,qty,time
buy,24.373,0.001,2023-08-10T12:13:55.000Z
buy,24.631,0.002,2023-08-10T12:33:52.000Z
buy,24.635,0.002,2023-08-10T12:53:53.000Z
buy,24.621,0.001,2023-08-10T13:24:07.000Z
buy,24.72,0.001,2023-08-10T13:53:54.000Z
buy,24.788,0.001,2023-08-10T14:03:54.000Z
buy,24.683,0.001,2023-08-10T14:23:55.000Z
buy,24.448,0.003,2023-08-10T14:43:53.000Z
buy,24.45,0.001,2023-08-10T14:53:54.000Z
buy,24.507,0.001,2023-08-10T15:23:56.000Z
buy,24.531,0.001,2023-08-10T15:43:52.000Z
buy,24.399,0.001,2023-08-10T16:21:22.000Z
buy,24.513,0.001,2023-08-10T16:53:53.000Z
buy,24.458,0.001,2023-08-10T17:13:54.000Z
buy,24.454,0.001,2023-08-10T17:33:54.000Z
buy,24.424,0.001,2023-08-10T18:03:55.000Z
buy,24.523,0.001,2023-08-10T18:33:57.000Z
buy,24.488,0.001,2023-08-10T19:23:57.000Z
buy,24.623,0.001,2023-08-10T20:23:55.000Z
buy,24.561,0.001,2023-08-10T20:53:53.000Z
buy,24.693,0.001,2023-08-10T21:33:56.000Z
buy,24.633,0.001,2023-08-10T22:13:55.000Z
buy,24.615,0.001,2023-08-10T22:53:52.000Z
buy,24.622,0.001,2023-08-10T23:33:54.000Z
buy,24.665,0.001,2023-08-11T00:13:54.000Z
buy,24.716,0.001,2023-08-11T00:53:57.000Z
buy,24.788,0.001,2023-08-11T01:23:55.000Z
buy,24.752,0.001,2023-08-11T02:03:54.000Z
buy,24.862,0.001,2023-08-11T02:33:56.000Z
buy,24.84,0.001,2023-08-11T03:13:39.000Z
buy,24.676,0.001,2023-08-11T03:43:56.000Z
buy,24.752,0.001,2023-08-11T04:23:55.000Z
buy,24.679,0.001,2023-08-11T05:13:54.000Z
buy,24.667,0.001,2023-08-11T05:43:53.000Z
buy,24.638,0.001,2023-08-11T06:13:55.000Z
buy,24.621,0.001,2023-08-11T07:03:54.000Z
buy,24.523,0.001,2023-08-11T07:33:55.000Z
buy,24.519,0.001,2023-08-11T08:23:54.000Z
buy,24.508,0.001,2023-08-11T08:53:53.000Z
buy,24.436,0.001,2023-08-11T09:43:53.000Z
buy,24.427,0.001,2023-08-11T10:33:55.000Z
buy,24.396,0.001,2023-08-11T11:23:55.000Z
