side,price,qty,time
sell,0.000001056,189000,2023-01-12T17:35:30.000Z
sell,0.000001297,11000,2023-01-12T17:35:30.000Z
sell,9.85e-7,12000,2023-01-12T18:34:31.000Z
sell,9.85e-7,13000,2023-01-12T18:36:26.000Z
sell,9.85e-7,11000,2023-01-12T18:39:41.000Z
sell,9.7e-7,15000,2023-01-12T18:43:28.000Z
sell,9.7e-7,134000,2023-01-12T18:50:48.000Z
sell,9.61e-7,140000,2023-01-12T18:58:29.000Z
sell,9.56e-7,146000,2023-01-12T20:06:18.000Z
sell,9.56e-7,50000,2023-01-12T20:11:54.000Z
sell,9.62e-7,48000,2023-01-12T20:11:54.000Z
sell,9.56e-7,159000,2023-01-12T20:15:51.000Z
sell,9.89e-7,12000,2023-01-12T20:31:48.000Z
sell,9.99e-7,130000,2023-01-12T21:57:45.000Z
sell,9.97e-7,13000,2023-01-12T22:06:28.000Z
sell,9.97e-7,152000,2023-01-12T22:07:30.000Z
sell,9.97e-7,28000,2023-01-12T22:11:49.000Z
sell,0.000001297,72000,2023-01-12T22:11:49.000Z
sell,9.99e-7,139000,2023-01-12T22:15:24.000Z
sell,9.99e-7,53000,2023-01-12T22:18:02.000Z
sell,0.000001297,7000,2023-01-12T22:18:02.000Z
sell,0.00000105,189000,2023-01-13T04:16:41.000Z
sell,0.000001297,11000,2023-01-13T04:16:41.000Z
sell,9.83e-7,173000,2023-01-13T07:35:02.000Z
sell,9.89e-7,137000,2023-01-13T07:43:23.000Z
sell,9.87e-7,155000,2023-01-13T07:52:07.000Z
sell,9.86e-7,173000,2023-01-13T08:01:21.000Z
sell,9.86e-7,20000,2023-01-13T08:01:21.000Z
sell,0.000001098,121000,2023-01-13T08:01:24.000Z
sell,0.000001098,12000,2023-01-13T08:01:24.000Z
sell,0.000001098,14000,2023-01-13T08:09:46.000Z
sell,9.75e-7,134000,2023-01-13T08:09:42.000Z
sell,9.75e-7,60000,2023-01-13T08:09:42.000Z
sell,0.000001098,102000,2023-01-13T08:09:42.000Z
sell,9.66e-7,141000,2023-01-13T08:23:31.000Z
sell,9.66e-7,12000,2023-01-13T08:21:55.000Z
sell,9.71e-7,14000,2023-01-13T08:30:38.000Z
sell,9.71e-7,140000,2023-01-13T08:30:38.000Z
sell,9.71e-7,12000,2023-01-13T08:30:38.000Z
sell,9.79e-7,156000,2023-01-13T08:37:47.000Z
sell,9.82e-7,15000,2023-01-13T08:44:04.000Z
sell,9.82e-7,156000,2023-01-13T08:44:04.000Z
sell,9.95e-7,171000,2023-01-13T08:52:52.000Z
sell,9.95e-7,13000,2023-01-13T08:52:52.000Z
sell,9.83e-7,155000,2023-01-13T10:11:02.000Z
sell,9.83e-7,38000,2023-01-13T10:11:02.000Z
sell,0.000001098,121000,2023-01-13T10:11:02.000Z
sell,9.74e-7,175000,2023-01-13T10:20:32.000Z
sell,9.65e-7,12000,2023-01-13T10:28:47.000Z
sell,9.65e-7,158000,2023-01-13T10:28:47.000Z
sell,9.63e-7,141000,2023-01-13T10:37:07.000Z
sell,9.63e-7,54000,2023-01-13T10:37:07.000Z
sell,0.000001098,72000,2023-01-13T10:37:10.000Z
sell,9.68e-7,176000,2023-01-13T10:45:45.000Z
sell,9.68e-7,140000,2023-01-13T10:54:29.000Z
sell,9.61e-7,178000,2023-01-13T11:03:09.000Z
sell,9.32e-7,14000,2023-01-13T11:11:50.000Z
sell,9.32e-7,140000,2023-01-13T11:11:50.000Z
sell,9.32e-7,43000,2023-01-13T11:11:50.000Z
sell,0.000001098,119000,2023-01-13T11:11:53.000Z
sell,9.36e-7,163000,2023-01-13T11:20:32.000Z
sell,9.36e-7,12000,2023-01-13T11:20:32.000Z
sell,9.54e-7,137000,2023-01-13T11:29:13.000Z
sell,9.56e-7,179000,2023-01-13T11:37:57.000Z
sell,9.56e-7,142000,2023-01-13T11:46:38.000Z
sell,9.58e-7,160000,2023-01-13T11:55:19.000Z
sell,9.54e-7,143000,2023-01-13T12:04:04.000Z
sell,9.49e-7,180000,2023-01-13T12:14:01.000Z
sell,9.49e-7,16000,2023-01-13T12:14:01.000Z
sell,9.43e-7,181000,2023-01-13T12:22:07.000Z
sell,9.43e-7,16000,2023-01-13T12:22:07.000Z
sell,9.37e-7,163000,2023-01-13T12:30:04.000Z
sell,9.25e-7,185000,2023-01-13T12:38:55.000Z
sell,9.24e-7,147000,2023-01-13T12:47:33.000Z
sell,9.08e-7,188000,2023-01-13T12:56:49.000Z
sell,9.05e-7,17000,2023-01-13T13:04:52.000Z
sell,9.05e-7,15000,2023-01-13T13:05:09.000Z
sell,9.05e-7,15000,2023-01-13T13:05:43.000Z
sell,9.05e-7,145000,2023-01-13T13:06:52.000Z
sell,9.15e-7,187000,2023-01-13T13:13:43.000Z
sell,9.15e-7,12000,2023-01-13T13:13:43.000Z
sell,0.000001098,4000,2023-01-13T13:13:43.000Z
sell,9.33e-7,183000,2023-01-13T13:22:17.000Z
sell,9.4e-7,139000,2023-01-13T13:34:14.000Z
sell,9.4e-7,12000,2023-01-13T13:39:38.000Z
sell,9.4e-7,139000,2023-01-13T13:39:58.000Z
sell,9.4e-7,12000,2023-01-13T13:39:58.000Z
sell,9.69e-7,176000,2023-01-13T13:48:23.000Z
sell,9.74e-7,158000,2023-01-13T13:57:00.000Z
sell,9.44e-7,181000,2023-01-13T14:05:54.000Z
sell,9.46e-7,181000,2023-01-13T14:14:41.000Z
sell,9.46e-7,15000,2023-01-13T14:14:41.000Z
sell,0.000001098,1000,2023-01-13T14:14:41.000Z
sell,9.49e-7,162000,2023-01-13T14:23:12.000Z
sell,9.49e-7,162000,2023-01-13T14:32:56.000Z
sell,9.45e-7,144000,2023-01-13T14:40:44.000Z
